SUBJECT,AGE,READING,WORD,CONSOLIDATION,TRAINING
3,19.54032823,0.87,0,1.34,0.99
161,21.99360699,0.76,0,0.93,1.355
84,20.89023046,0.82,0,0.2,0.495
35,20.53430255,0.83,0,-0.1,0.26
1,24.27154562,0.96,0,0.755,0.905
22,23.69932305,0.87,0,2,-0.69
183,21.17212081,0.85,0,0.585,1.175
13,23.89633828,0.84,0,-0.635,0.635
110,18.94084067,0.86,0,1.155,0.395
143,21.38852954,0.86,0,1.155,0.145
133,20.83262034,0.82,0,1.44,0.17
46,21.72803001,0.89,0,1.42,2.155
125,19.98398324,0.79,0,1.205,1.055
167,21.93337303,0.79,0,0.61,1.245
9,19.29676859,0.78,0,1.23,1.255
10,21.05450488,0.83,0,1.455,0.195
175,21.30354034,0.83,0,2.58,-0.095
134,19.86340126,0.85,0,0.24,0.89
34,19.84720197,0.94,0,-0.02,0.7
174,22.08384384,0.91,0,1.285,2.235
75,21.01069837,0.87,0,1.22,0.015
166,20.55905779,0.92,0,1.725,0.075
48,21.47055267,0.97,0,1.325,1.075
107,22.20157384,0.87,0,1.365,0.515
159,20.63298128,0.87,0,1.385,2.925
142,21.20782768,0.79,0,0.2,1.045
39,19.6526965,0.86,0,0.21,0.535
23,19.1928422,0.85,0,1.475,2.1
141,20.40835883,0.95,0,1.115,1.095
180,20.36443824,0.95,0,0.89,-0.245
149,21.46530501,0.87,0,2.67,0.925
40,22.19883593,0.91,0,-0.22,1.36
160,31.98696756,0.94,0,0.485,3.32
113,18.70538067,0.96,0,-1.64,1.025
108,21.06260453,0.8,0,0.995,0.53
50,21.59387256,0.88,0,1.395,0.3
140,19.93184893,0.91,0,1.515,0.97
171,18.79025579,0.84,0,0.375,0.59
126,22.42345839,0.97,0,2.045,1.36
185,20.65477046,0.89,0,2.145,0.285
181,22.57130537,0.86,0,1.48,-0.23
128,30.33327173,0.94,0,1.805,0.36
91,20.06885836,0.86,0,-0.355,0.365
72,20.53966429,0.97,0,1.08,0.91
137,22.1168128,0.83,0,1.485,0.37
17,20.47680651,0.87,0,3.045,1.375
135,21.84838384,0.92,0,0.88,0.215
188,21.90051815,0.94,0,0.645,-0.06
173,21.93884885,0.91,0,0.715,0.17
120,19.45819102,0.92,0,1.685,0.43
119,21.12557639,0.97,0,3.845,-0.76
37,21.82933257,0.97,0,1.34,2.255
8,18.75454892,0.95,0,1.345,1.285
184,21.78826396,0.95,0,1.75,-0.01
33,22.04836513,0.83,0,1,0.65
156,21.5364906,0.92,0,1.34,0.345
88,20.2002779,0.89,0,2.035,-0.455
164,28.34840323,0.98,0,1.155,0.245
14,20.10171325,0.83,0,2.9,0.785
4,19.83602219,0.9,0,2.15,1.995
189,20.88201674,0.99,0,2.25,0.635
165,20.07707208,0.92,0,0.195,1.5
127,26.03475773,0.87,0,1.55,1.54
146,21.49268408,0.9,0,1.25,0.65
122,21.16402116,0.89,0,3.63,0.285
163,21.31472013,0.95,0,0.65,0.295
124,24.3427312,0.91,0,2.435,1.29
73,22.75474514,0.89,0,0.935,1.925
170,19.26653753,0.8,0,-0.025,0.715
177,22.08110593,0.96,0,2.065,1.025
151,20.41942454,0.98,0,1.425,0.835
11,19.15987323,0.92,0,2.34,1.85
190,21.82374267,0.98,0,2.43,0.01
3,19.54032823,0.69,1,1.34,0.99
161,21.99360699,0.48,1,0.93,1.355
84,20.89023046,0.58,1,0.2,0.495
35,20.53430255,0.7,1,-0.1,0.26
1,24.27154562,0.84,1,0.755,0.905
22,23.69932305,0.84,1,2,-0.69
183,21.17212081,0.73,1,0.585,1.175
13,23.89633828,0.84,1,-0.635,0.635
110,18.94084067,0.87,1,1.155,0.395
143,21.38852954,0.81,1,1.155,0.145
133,20.83262034,0.84,1,1.44,0.17
46,21.72803001,0.84,1,1.42,2.155
125,19.98398324,0.87,1,1.205,1.055
167,21.93337303,0.7,1,0.61,1.245
9,19.29676859,0.76,1,1.23,1.255
10,21.05450488,0.8,1,1.455,0.195
175,21.30354034,0.84,1,2.58,-0.095
134,19.86340126,0.85,1,0.24,0.89
34,19.84720197,0.85,1,-0.02,0.7
174,22.08384384,0.85,1,1.285,2.235
75,21.01069837,0.87,1,1.22,0.015
166,20.55905779,0.87,1,1.725,0.075
48,21.47055267,0.89,1,1.325,1.075
107,22.20157384,0.84,1,1.365,0.515
159,20.63298128,0.84,1,1.385,2.925
142,21.20782768,0.84,1,0.2,1.045
39,19.6526965,0.85,1,0.21,0.535
23,19.1928422,0.85,1,1.475,2.1
141,20.40835883,0.87,1,1.115,1.095
180,20.36443824,0.87,1,0.89,-0.245
149,21.46530501,0.87,1,2.67,0.925
40,22.19883593,0.88,1,-0.22,1.36
160,31.98696756,0.89,1,0.485,3.32
113,18.70538067,0.89,1,-1.64,1.025
108,21.06260453,0.91,1,0.995,0.53
50,21.59387256,0.91,1,1.395,0.3
140,19.93184893,0.91,1,1.515,0.97
171,18.79025579,0.93,1,0.375,0.59
126,22.42345839,0.93,1,2.045,1.36
185,20.65477046,0.93,1,2.145,0.285
181,22.57130537,0.88,1,1.48,-0.23
128,30.33327173,0.88,1,1.805,0.36
91,20.06885836,0.9,1,-0.355,0.365
72,20.53966429,0.9,1,1.08,0.91
137,22.1168128,0.91,1,1.485,0.37
17,20.47680651,0.91,1,3.045,1.375
135,21.84838384,0.92,1,0.88,0.215
188,21.90051815,0.92,1,0.645,-0.06
173,21.93884885,0.92,1,0.715,0.17
120,19.45819102,0.93,1,1.685,0.43
119,21.12557639,0.93,1,3.845,-0.76
37,21.82933257,0.94,1,1.34,2.255
8,18.75454892,0.95,1,1.345,1.285
184,21.78826396,0.95,1,1.75,-0.01
33,22.04836513,0.92,1,1,0.65
156,21.5364906,0.92,1,1.34,0.345
88,20.2002779,0.92,1,2.035,-0.455
164,28.34840323,0.94,1,1.155,0.245
14,20.10171325,0.95,1,2.9,0.785
4,19.83602219,0.95,1,2.15,1.995
189,20.88201674,0.96,1,2.25,0.635
165,20.07707208,0.96,1,0.195,1.5
127,26.03475773,0.97,1,1.55,1.54
146,21.49268408,0.97,1,1.25,0.65
122,21.16402116,0.97,1,3.63,0.285
163,21.31472013,0.97,1,0.65,0.295
124,24.3427312,0.98,1,2.435,1.29
73,22.75474514,0.92,1,0.935,1.925
170,19.26653753,0.95,1,-0.025,0.715
177,22.08110593,0.95,1,2.065,1.025
151,20.41942454,0.96,1,1.425,0.835
11,19.15987323,0.98,1,2.34,1.85
190,21.82374267,1,1,2.43,0.01