WRMT.III..Word.ID,WRMT.III..Word.ttck,TOWRE..Sight.Word.Efficiecy,TOWRE..Phoemic.Decodig,Scaled_Real,Scaled_Nonword,baseline,Day1,Day2,Training,Consolidation
40,14,95,56,0.87,0.69,0.58,1.57,2.33,0.99,1.34
38,15,75,25,0.76,0.48,1.01,2.365,2.285,1.355,0.93
39,17,86,33,0.82,0.58,0.24,0.735,0.695,0.495,0.2
42,17,81,49,0.83,0.7,-0.1,0.16,0.16,0.26,-0.1
43,19,106,62,0.96,0.84,0.42,1.325,1.66,0.905,0.755
41,19,91,63,0.87,0.84,1.81,1.12,1.31,-0.69,2
38,20,94,46,0.85,0.73,0.24,1.415,1.76,1.175,0.585
38,20,92,60,0.84,0.84,0.08,0.715,0,0.635,-0.635
41,20,90,64,0.86,0.87,1.16,1.555,1.55,0.395,1.155
38,21,97,54,0.86,0.81,0.73,0.875,1.3,0.145,1.155
40,21,83,57,0.82,0.84,0.65,0.82,1.61,0.17,1.44
42,21,94,57,0.89,0.84,0.4,2.555,3.575,2.155,1.42
40,21,76,61,0.79,0.87,0.57,1.625,2.26,1.055,1.205
38,22,81,37,0.79,0.7,0.08,1.325,1.855,1.245,0.61
33,22,91,45,0.78,0.76,0.32,1.575,2.485,1.255,1.23
36,22,95,50,0.83,0.8,0.67,0.865,1.65,0.195,1.455
38,22,89,55,0.83,0.84,1.55,1.455,2.485,-0.095,2.58
41,22,87,56,0.85,0.85,0.32,1.21,1.13,0.89,0.24
42,22,105,56,0.94,0.85,-0.09,0.61,0.68,0.7,-0.02
42,22,98,57,0.91,0.85,0.89,3.125,3.52,2.235,1.285
43,22,87,59,0.87,0.87,1.21,1.225,1.235,0.015,1.22
43,22,97,59,0.92,0.87,1.27,1.345,1.8,0.075,1.725
44,22,107,62,0.97,0.89,0.91,1.985,2.4,1.075,1.325
40,23,93,52,0.87,0.84,0.7,1.215,1.88,0.515,1.365
42,23,90,52,0.87,0.84,0.72,3.645,4.31,2.925,1.385
40,23,76,53,0.79,0.84,-0.31,0.735,1.245,1.045,0.2
41,23,90,54,0.86,0.85,0.41,0.945,0.745,0.535,0.21
42,23,85,54,0.85,0.85,0.64,2.74,3.575,2.1,1.475
42,23,106,57,0.95,0.87,0.32,1.415,2.21,1.095,1.115
42,23,106,57,0.95,0.87,0.83,0.585,0.645,-0.245,0.89
43,23,88,57,0.87,0.87,1.77,2.695,3.595,0.925,2.67
42,23,98,58,0.91,0.88,0,1.36,1.14,1.36,-0.22
43,23,102,59,0.94,0.89,0.32,3.64,3.805,3.32,0.485
44,23,105,59,0.96,0.89,-0.5,0.525,-0.615,1.025,-1.64
41,23,77,62,0.8,0.91,0.4,0.93,1.525,0.53,0.995
41,23,94,62,0.88,0.91,0.74,1.04,1.695,0.3,1.395
43,23,96,62,0.91,0.91,1.5,2.47,2.485,0.97,1.515
42,23,82,64,0.84,0.93,-0.08,0.51,0.965,0.59,0.375
43,23,108,64,0.97,0.93,0.69,2.05,3.405,1.36,2.045
44,23,90,65,0.89,0.93,1.36,1.645,2.43,0.285,2.145
44,24,82,55,0.86,0.88,1.04,0.81,1.25,-0.23,1.48
46,24,96,55,0.94,0.88,1.25,1.61,2.165,0.36,1.805
43,24,85,58,0.86,0.9,-0.08,0.285,0.01,0.365,-0.355
43,24,108,58,0.97,0.9,0.17,1.08,1.99,0.91,1.08
43,24,79,59,0.83,0.91,0.65,1.02,1.855,0.37,1.485
45,24,82,59,0.87,0.91,2.31,3.685,4.42,1.375,3.045
41,24,102,60,0.92,0.92,1.16,1.375,1.095,0.215,0.88
41,24,107,60,0.94,0.92,0.34,0.28,0.585,-0.06,0.645
42,24,97,61,0.91,0.92,0.52,0.69,0.885,0.17,0.715
42,24,100,62,0.92,0.93,0.98,1.41,2.115,0.43,1.685
44,24,106,62,0.97,0.93,2.82,2.06,3.085,-0.76,3.845
44,24,107,63,0.97,0.94,-0.09,2.165,3.595,2.255,1.34
42,24,106,64,0.95,0.95,0.56,1.845,2.63,1.285,1.345
43,24,105,65,0.95,0.95,1.47,1.46,1.74,-0.01,1.75
40,25,86,58,0.83,0.92,0.48,1.13,1.65,0.65,1
43,25,97,58,0.92,0.92,0.73,1.075,1.685,0.345,1.34
44,25,88,58,0.89,0.92,1.4,0.945,1.58,-0.455,2.035
44,25,108,60,0.98,0.94,0.89,1.135,1.4,0.245,1.155
44,25,77,62,0.83,0.95,2.42,3.205,3.685,0.785,2.9
44,25,91,62,0.9,0.95,1.25,3.245,4.145,1.995,2.15
45,25,108,63,0.99,0.96,1.08,1.715,2.885,0.635,2.25
46,25,91,63,0.92,0.96,0.24,1.74,1.695,1.5,0.195
42,25,90,64,0.87,0.97,0.47,2.01,3.09,1.54,1.55
44,25,91,64,0.9,0.97,0.75,1.4,1.9,0.65,1.25
41,25,95,65,0.89,0.97,2.42,2.705,3.915,0.285,3.63
44,25,102,65,0.95,0.97,0.58,0.875,0.945,0.295,0.65
42,25,97,66,0.91,0.98,2.04,3.33,3.725,1.29,2.435
44,26,88,55,0.89,0.92,-0.24,1.685,2.86,1.925,0.935
41,26,76,59,0.8,0.95,-0.16,0.555,0.69,0.715,-0.025
42,26,108,60,0.96,0.95,1.16,2.185,3.09,1.025,2.065
44,26,108,61,0.98,0.96,1.18,2.015,2.26,0.835,1.425
45,26,94,64,0.92,0.98,1.47,3.32,4.19,1.85,2.34
44,26,108,66,0.98,1,1.25,1.26,2.44,0.01,2.43